"Indicator","Year","Geography","Sex","AgeGroup","Location","Value","Unit","Source","DataType"
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Spain","Both Sexes","Not Available","Not Available","0.31","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Spain","Both Sexes","Not Available","Not Available","0.31","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Spain","Both Sexes","Not Available","Not Available","0.31","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Spain","Both Sexes","Not Available","Not Available","0.31","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Spain","Both Sexes","Not Available","Not Available","0.31","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Spain","Both Sexes","Not Available","Not Available","0.31","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Spain","Both Sexes","Not Available","Not Available","0.31","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Spain","Female","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Spain","Female","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Spain","Female","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Spain","Female","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Spain","Female","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Spain","Female","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Spain","Female","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Spain","Female","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Both Sexes","Not Available","Not Available","0.23","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Both Sexes","Not Available","Not Available","0.23","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Both Sexes","Not Available","Not Available","0.23","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Both Sexes","Not Available","Not Available","0.23","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Both Sexes","Not Available","Not Available","0.23","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Both Sexes","Not Available","Not Available","0.23","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Both Sexes","Not Available","Not Available","0.23","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Both Sexes","Not Available","Not Available","0.23","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Male","Not Available","Not Available","0.26","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Male","Not Available","Not Available","0.26","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Male","Not Available","Not Available","0.26","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Male","Not Available","Not Available","0.26","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Male","Not Available","Not Available","0.26","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Male","Not Available","Not Available","0.26","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Male","Not Available","Not Available","0.26","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Male","Not Available","Not Available","0.26","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Spain","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Male","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Male","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Male","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Male","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Male","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Male","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Male","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Male","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Both Sexes","Not Available","Not Available","0.2","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Both Sexes","Not Available","Not Available","0.2","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Both Sexes","Not Available","Not Available","0.2","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Both Sexes","Not Available","Not Available","0.2","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Both Sexes","Not Available","Not Available","0.2","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Both Sexes","Not Available","Not Available","0.2","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Both Sexes","Not Available","Not Available","0.2","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Spain","Both Sexes","Not Available","Not Available","0.2","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Male","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Male","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Male","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Male","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Male","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Male","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Male","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Male","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Both Sexes","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Both Sexes","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Both Sexes","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Both Sexes","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Both Sexes","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Both Sexes","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Both Sexes","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Both Sexes","Not Available","Not Available","0.22","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Female","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Female","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Female","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Female","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Female","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Female","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Female","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Spain","Female","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Female","Not Available","Not Available","0.5","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Female","Not Available","Not Available","0.5","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Female","Not Available","Not Available","0.5","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Female","Not Available","Not Available","0.5","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Female","Not Available","Not Available","0.5","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Female","Not Available","Not Available","0.5","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Female","Not Available","Not Available","0.5","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Female","Not Available","Not Available","0.5","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Male","Not Available","Not Available","0.78","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Male","Not Available","Not Available","0.78","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Male","Not Available","Not Available","0.78","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Male","Not Available","Not Available","0.78","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Male","Not Available","Not Available","0.78","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Male","Not Available","Not Available","0.78","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Male","Not Available","Not Available","0.78","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Male","Not Available","Not Available","0.78","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Both Sexes","Not Available","Not Available","0.64","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Both Sexes","Not Available","Not Available","0.64","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Both Sexes","Not Available","Not Available","0.64","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Both Sexes","Not Available","Not Available","0.64","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Both Sexes","Not Available","Not Available","0.64","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Both Sexes","Not Available","Not Available","0.64","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Both Sexes","Not Available","Not Available","0.64","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Sri Lanka","Both Sexes","Not Available","Not Available","0.64","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Female","Not Available","Not Available","0.55","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Female","Not Available","Not Available","0.55","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Female","Not Available","Not Available","0.55","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Female","Not Available","Not Available","0.55","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Female","Not Available","Not Available","0.55","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Female","Not Available","Not Available","0.55","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Female","Not Available","Not Available","0.55","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Female","Not Available","Not Available","0.55","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Both Sexes","Not Available","Not Available","0.62","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Both Sexes","Not Available","Not Available","0.62","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Both Sexes","Not Available","Not Available","0.62","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Both Sexes","Not Available","Not Available","0.62","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Both Sexes","Not Available","Not Available","0.62","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Both Sexes","Not Available","Not Available","0.62","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Both Sexes","Not Available","Not Available","0.62","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Both Sexes","Not Available","Not Available","0.62","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Male","Not Available","Not Available","0.7","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Male","Not Available","Not Available","0.7","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Male","Not Available","Not Available","0.7","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Male","Not Available","Not Available","0.7","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Male","Not Available","Not Available","0.7","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Male","Not Available","Not Available","0.7","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Male","Not Available","Not Available","0.7","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Sri Lanka","Male","Not Available","Not Available","0.7","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Female","Not Available","Not Available","0.31","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Female","Not Available","Not Available","0.31","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Female","Not Available","Not Available","0.31","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Female","Not Available","Not Available","0.31","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Female","Not Available","Not Available","0.31","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Female","Not Available","Not Available","0.31","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Female","Not Available","Not Available","0.31","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Female","Not Available","Not Available","0.31","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Both Sexes","Not Available","Not Available","0.42","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Both Sexes","Not Available","Not Available","0.42","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Both Sexes","Not Available","Not Available","0.42","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Both Sexes","Not Available","Not Available","0.42","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Both Sexes","Not Available","Not Available","0.42","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Both Sexes","Not Available","Not Available","0.42","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Both Sexes","Not Available","Not Available","0.42","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Both Sexes","Not Available","Not Available","0.42","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Male","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Male","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Male","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Male","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Male","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Male","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Male","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Sri Lanka","Male","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Sri Lanka","Both Sexes","Not Available","Not Available","0.42","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Sri Lanka","Both Sexes","Not Available","Not Available","0.42","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Sri Lanka","Both Sexes","Not Available","Not Available","0.42","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Sri Lanka","Both Sexes","Not Available","Not Available","0.42","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Sri Lanka","Both Sexes","Not Available","Not Available","0.42","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Sri Lanka","Both Sexes","Not Available","Not Available","0.42","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Sri Lanka","Both Sexes","Not Available","Not Available","0.42","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Sri Lanka","Both Sexes","Not Available","Not Available","0.42","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Sri Lanka","Male","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Sri Lanka","Male","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Sri Lanka","Male","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Sri Lanka","Male","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Sri Lanka","Male","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Sri Lanka","Male","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Sri Lanka","Male","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Sri Lanka","Male","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Sri Lanka","Female","Not Available","Not Available","0.3","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Sri Lanka","Female","Not Available","Not Available","0.3","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Sri Lanka","Female","Not Available","Not Available","0.3","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Sri Lanka","Female","Not Available","Not Available","0.3","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Sri Lanka","Female","Not Available","Not Available","0.3","Rate (per 100,000 population)","Global Health Observatory",""
